Sr No,Product Name,Category,GST,Offered Disc %,,,
1,Apollo,Wellness & Beauty,--,12,,,
2,Costa Cofee,Food & Beverages,--,9,,,
3,Derma Chemistry,Wellness & Beauty,--,28,,,
4,Dpauls Tours & Travels,Tour & Travel,--,9,,,
5,Eazydiner,Food & Beverages,--,28,,,
6,Healthians,Wellness & Beauty,--,68,,,
7,KFC,Food & Beverages,--,7,,,
8,Pizza Hut,Food & Beverages,--,7.5,,,
9,tripXOXO,Tour & Travel,--,7,,,
10,Vaango,Food & Beverages,--,9,,,
11,Boditive,E-Commerce,--,13,,,
12,BuyWithEMI,E-Commerce,--,4.5,,,
13,Amazon Corp Fresh Voucher-Payouts,Food & Beverages,--,4.5,,,
14,Amazon Corp Prime Voucher 12-M-ChannelPartner,E-Commerce,--,16,,,
15,Amazon Corp Prime Voucher 3-M-ChannelPartner,E-Commerce,--,16,,,
16,Amazon Corp Shopping Voucher-Payouts,E-Commerce,--,2,,,
17,Amazon Pay-Payouts,E-Commerce,--,1.5,,,
18,[Steam] Doom Eternal  IND,Gaming,--,9,,,
19,[Steam] DOOM Eternal Deluxe Edition IND,Gaming,--,9,,,
20,[Steam] DOOM: The Dark Ages Premium IND,Gaming,--,9,,,
21,[Steam] DOOM: The Dark Ages Standard IND,Gaming,--,9,,,
22,[Steam] Fallout 3: Game of the Year Edition IND,Gaming,--,9,,,
23,[Steam] Fallout 4 - Game Of The Year IND,Gaming,--,9,,,
24,[Steam] Fallout 76 IND,Gaming,--,9,,,
25,[Steam] Fallout New Vegas - Ultimate Edition IND,Gaming,--,9,,,
26,[Steam] Indiana Jones and the Great Circle IND,Gaming,--,9,,,
27,[Steam] Indiana Jones and the Great Circle Premium Edition IND,Gaming,--,9,,,
28,[Steam] STARFIELD IND,Gaming,--,9,,,
29,[Steam] The Elder Scrolls IV: Oblivion Remastered - Deluxe Edition IND,Gaming,--,9,,,
30,[Steam] The Elder Scrolls IV: Oblivion Remastered - Deluxe Upgrade IND,Gaming,--,9,,,
31,[Steam] The Elder Scrolls IV: Oblivion Remastered IND,Gaming,--,9,,,
32,[Steam] The Elder Scrolls V: Skyrim Anniversary Edition IND,Gaming,--,9,,,
33,[Steam] The Elder Scrolls V: Skyrim Special Edition IND,Gaming,--,9,,,
34,100 FC Points IND,Gaming,--,6.5,,,
35,1070 FC Points IND,Gaming,--,6.5,,,
36,12000 FC Points IND,Gaming,--,6.5,,,
37,2200 FC Points IND,Gaming,--,6.5,,,
38,40 FC Points IND,Gaming,--,6.5,,,
39,520 FC Points IND,Gaming,--,6.5,,,
40,5750 FC Points IND,Gaming,--,6.5,,,
41,1999 Silver IND,Gaming,--,6.5,,,
42,39 Silver IND,Gaming,--,6.5,,,
43,499 Silver IND,Gaming,--,6.5,,,
44,4999 Silver IND,Gaming,--,6.5,,,
45,99 Silver IND,Gaming,--,6.5,,,
46,999 Silver IND,Gaming,--,6.5,,,
47,9999 Silver IND,Gaming,--,6.5,,,
48,Genshin Impact 1090 Genesis Crystals,Gaming,--,12,,,
49,DOOM Eternal Deluxe Edition GT,Gaming,INCLUSIVE,4.5,,,
50,Doom Eternal GT,Gaming,INCLUSIVE,4.5,,,
51,Fallout 3: Game of the Year Edition GT,Gaming,INCLUSIVE,4.5,,,
52,Fallout 4 - Game Of The Year GT,Gaming,INCLUSIVE,4.5,,,
53,Fallout 76 GT,Gaming,INCLUSIVE,4.5,,,
54,Fallout 76: Skyline Valley Deluxe Edition GT,Gaming,INCLUSIVE,4.5,,,
55,Fallout New Vegas - Ultimate Edition GT,Gaming,INCLUSIVE,4.5,,,
56,Genshin Impact 2240 Genesis Crystals,Gaming,--,12,,,
57,Genshin Impact 330 Genesis Crystals,Gaming,--,12,,,
58,Genshin Impact 3880 Genesis Crystals,Gaming,--,12,,,
59,Genshin Impact 60 Genesis Crystals,Gaming,--,12,,,
60,Google Play Recharge Code POR INR 10,Gaming,--,3.25,,,
61,Google Play recharge code POR INR 100,Gaming,--,3.25,,,
62,Google Play recharge code POR INR 1000,Gaming,--,3.25,,,
63,Google Play recharge code POR INR 1500,Gaming,--,3.25,,,
64,Google Play Recharge Code POR INR 20,Gaming,--,3.25,,,
65,Google Play recharge code POR INR 300,Gaming,--,3.25,,,
66,Google Play Recharge Code POR INR 50,Gaming,--,3.25,,,
67,Google Play recharge code POR INR 500,Gaming,--,3.25,,,
68,Google Play Recharge Code POR INR 750,Gaming,--,3.25,,,
69,Hi-Fi Rush GT,Gaming,INCLUSIVE,4.5,,,
70,Honkai: Star Rail 1090 Oneiric Shard,Gaming,--,7.5,,,
71,Honkai: Star Rail 2240 Oneiric Shard,Gaming,--,7.5,,,
72,Honkai: Star Rail 330 Oneiric Shard,Gaming,--,7.5,,,
73,Honkai: Star Rail 3880 Oneiric Shard,Gaming,--,7.5,,,
74,Honkai: Star Rail 60 Oneiric Shard,Gaming,--,7.5,,,
75,Honkai: Star Rail 8080 Oneiric Shard,Gaming,--,7.5,,,
76,Honkai: Star Rail Express Supply Pass,Gaming,--,7.5,,,
77,Marvel Rivals - 100 LATTICE,Gaming,--,11.5,,,
78,Marvel Rivals - 1000 LATTICE,Gaming,--,11.5,,,
79,Marvel Rivals - 11680 LATTICE,Gaming,--,11.5,,,
80,Marvel Rivals - 2180 LATTICE,Gaming,--,11.5,,,
81,Marvel Rivals - 500 LATTICE,Gaming,--,11.5,,,
82,Mobile Legends 172 Diamonds,Gaming,--,7.5,,,
83,Mobile Legends 2195 Diamonds,Gaming,--,7.5,,,
84,Mobile Legends 257 Diamonds,Gaming,--,7.5,,,
85,Mobile Legends 706 Diamonds,Gaming,--,7.5,,,
86,Mobile Legends 86 Diamonds,Gaming,--,7.5,,,
87,Nintendo US - Classic Racers Elite,Gaming,--,9,,,
88,Nintendo US - Dark Thrones,Gaming,--,9,,,
89,Nintendo US - Gas Guzzlers Extreme,Gaming,--,9,,,
90,Nintendo US - Horizon Shift 81,Gaming,--,9,,,
91,Nintendo US - Martian Panic,Gaming,--,9,,,
92,Nintendo US - Mozart Requiem,Gaming,--,9,,,
93,Nintendo US - Super Street Racer,Gaming,--,9,,,
94,Nintendo US - Sushi Bar Express,Gaming,--,9,,,
95,Nintendo US - Vegas Party,Gaming,--,9,,,
96,Nintendo US - World Quiz,Gaming,--,9,,,
97,Plays India INR 1000,Gaming,--,1.5,,,
98,PlayS India INR 12000,Gaming,--,1.5,,,
99,PlayS India INR 13500,Gaming,--,1.5,,,
100,Plays India INR 2000,Gaming,--,1.5,,,
101,Plays India INR 3000,Gaming,--,1.5,,,
102,Plays India INR 4000,Gaming,--,1.5,,,
103,Plays India INR 5000,Gaming,--,1.5,,,
104,PlayS India INR 7000,Gaming,--,1.5,,,
105,PlayS India INR 8000,Gaming,--,1.5,,,
106,PlayS India INR 9000,Gaming,--,1.5,,,
107,Ravenswatch GT,Gaming,--,4.5,,,
108,Razer Gold India 100 INR,Gaming,--,3.75,,,
109,Razer Gold India 1000 INR,Gaming,--,3.75,,,
110,Razer Gold India 250 INR,Gaming,--,3.75,,,
111,Razer Gold India 2500 INR,Gaming,--,3.75,,,
